,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
157,EPAS1,LINC01500,PWRN1,MYH11,ELOVL7,SIRPB2,SLC7A5,ADGRV1,PHLPP1,A2M,SEMA3E,FAXDC2,TBC1D16,MYT1,MT3,GLI3,VAV3,DOCK10,CPB2,RFX4,SVIL,MSR1,SCHLAP1,A2M
158,MAN2A1,RGS10,NEDD9,CR1,HAPLN2,LINC01630,PRKCH,USP53,PCDH11Y,CFAP418-AS1,GLIS3,LINC01470,COL5A3,TRPM3,NEDD9,SLC24A3,ABTB3,MT3,ELF1,ENPP2,GATA2,TRPM3,CDC14A,QDPR
159,WIPF1,FIRRE,XRCC4,NPL,NEAT1,MIR325HG,CHRM5,TMEM165,F13A1,TRPC3,SLC39A11,LINC01931,ITPKB,DOCK10,HIF1A,PHLPP1,TIMP1,CT69,CFTR,ST8SIA6,LOC105369147,LHFPL3,PHLDB1,HIF3A
160,HHATL,KCNQ1,EGLN3,FA2H,LINC02328,ANKRD44,EMC10,FAM222A-AS1,HIPK2,TBC1D16,SLC25A13,LOC101927745,IL18,KCNIP1,AOAH,USP53,HSPA1B,CA2,SLC19A1,LINC00278,REG1A,COBLL1,PARP9,GLDN
161,PARD3B,OTULINL,ZNF804B,CEMIP,RGS5,HLA-A,PCED1B,ANOS1,SLC9A9,SLC44A1,CBR1,LOC105373335,ZFHX3,LINC01505,DISP1,RGS12,GLIS3,FRMD4B,LINC00511,MKRN3,AGTR1,ACSS3,MPZL2,ELOVL7
162,ZCCHC24,ADIPOR2,CPQ,GPR37L1,LNC-LBCS,SERPINH1,NRXN1-DT,DDR2,TFRC,B4GALT1,RNF152,FPR3,LOC105373335,LOC124903183,CTSC,ALK,GAB3,GAD2,THSD7A,HAPLN2,HAPLN2,FGD4,LINC01480,B4GALT1
163,AGT,NXPH1,MMD2,LINC02649,XRCC4,ERBB4,LRIG1,CYP4F12,SERPINB9,HIPK2,MAN2A1,SUCLG2-DT,SYNE2,GALNT15,SEMA6A-AS1,MAF,USP6NL,SAT1,VAV3,ADAMTSL1,GPRIN3,LHFPL2,ACSS1,PTN
164,SOX10,CCL3,TMEM163,PLXDC2,LINC01090,EYA4,COBLL1,GPRIN3,NKAIN3,IL18,ATP8B4,LOC107985126,CHRNA7,KCNK13,THSD7B,PREX2,PTN,PLEKHH1,DISC1FP1,DDX60L,MPEG1,SERPINB9,DOCK1,NKAIN3
165,ZHX2,SIGLEC11,MTUS1,SLC9A9,SUCLG2,KIAA1755,NTN1,ENTREP1,COL21A1,CEMIP,NWD1,ARHGAP15,XYLT1,EGLN3,ELMO1,MARCKSL1,NRXN1-DT,ALK,MT3,SLC2A3,ENPP2,TENT5A,ZFHX4,GRIK1
166,TAGLN,CYSLTR1,BACH1,HEPACAM,FAM149A,EFEMP1,LDB3,SLC2A1,GLDN,LOC105373335,ENTPD1,EGLN3,CIITA,ACSL1,CST3,ABCA2,ZFP36L2,MT1M,ROR1,TRG-AS1,ASCL4,LPAR6,PLEKHH1,ITGA8
167,PCDH15,ADAM28,GLDN,PMP22,CPM,ELMO1-AS1,LOC105373335,XYLT1,TTN,LINC00511,HSPB8,AOAH,CPB2-AS1,LINC01821,SOCS6,ENTPD1,ADGRG1,KCTD12,TGFB2,LINC00511,SAMD4A,PTPRZ1,ETS1,PLCH1
168,LMCD1-AS1,SLC7A7,POLR2F,FIRRE,CD55,FLI1,KMO,BCL6,LINC01090,COL9A1,SFMBT2,WDR49,MIR646HG,PRUNE2,BMP7,SYNE2,LINC00639,IFI44,RBPMS,GRIK1,CXCL8,FCRL5,SLC39A11,CPB2
169,SLC9A9,SRGAP2B,B4GALT1,CBR1,ADAMTS9-AS2,PLAAT3,PELI1,TNFRSF13B,BMPR1B,CBR1,PGM5,SEMA5A,GNA14,ARHGAP22,IL1R1,SLC7A11,AASS,NPL,NAMPT,PLPP4,IFITM1,ERBIN,LHFPL2,LOC105369147
170,LOC105376244,GAB3,PLEKHA7,CERCAM,ADIPOR2,SLC16A1,FTL,RFX4,LINC01876,ST6GALNAC3,RAB31,PRUNE2,LINC02232,GNB4,CHRNA7,FCRL5,HDAC2-AS2,COL4A1,ADAMTS17,ATP13A4,CCL3,ITPKB,TMTC2,LINC01090
171,LOC105370532,PSTPIP2,SERPINB9,CDKN2B-AS1,TAC1,IFI27,COL25A1,ADIPOR2,FGF13,LHFPL3,NDUFA4L2,TAGLN,SOCS6,IL18,ROR2,COL4A1,GCNT2,ADAP2,ATP8B4,HIF1A,PDCD1,LDB3,CLMN,PELI1
172,NKAIN3,SLC9A9,PIP4K2A,MAG,DOCK1,HSPB1,HS3ST5,NEDD9,PTPRZ1,CD83,ADGRV1,F13A1,NAMPT,LINC00276,LRRC1,SLC19A1,ABCC4,RGS20,CLDND1,CTXND1,PRUNE2,LOC101927314,PLSCR4,MIR646HG
173,IPCEF1,DHRS3,ST6GALNAC3,LTBP1,ABTB3,CLDN5,HSPB8,ADAMTSL1,TCF7L1,SCD,CFTR,RIPOR3,MIR4300HG,TNS1,CTXND1,DPP10-AS3,SLC2A3,PRELID2,MIR325HG,B2M,LOC105377448,PDE3A,BMP2K,CHRM5
174,TGFB1,CDH23,LMCD1-AS1,LOC728158,CD83,LOC283194,LINC01482,LOC107984203,COL4A1,KIF26B,PITPNC1,LOC124903183,CBR1,IFNG-AS1,XRCC4,RASGEF1C,LOC102546299,ACSS1,PCDH11Y,PDE1C,HOXB3,KCNQ1,WIPF1,NDST4
175,PLSCR1,DOCK8,ACSL1,SEMA6A-AS1,NOTCH3,TSHZ2,DPP10-AS3,TRG-AS1,LINC02328,ANXA3,LOC107984203,XYLT1,CD163L1,ADAM12,CYBRD1,DBNDD2,EYA2,ATP10B,LOC105378311,KCNIP1,LINC00477,SLC6A13,LAMA1,SLC7A11
176,SLC25A13,SERPINB9,ALK,CLIC4,ACACB,LOC101927560,SVEP1,TMTC2,MIR3667HG,LINC00472,PLSCR1,ADAM28,HLA-DQA1,LRRC1,MKRN3,CYP1B1,SVIL,NDNF,TAGLN,FGD4,FOXF1,PLD5,SRGAP1,KCNN3
177,FIRRE,ENO4,TAGLN,HS3ST5,MIR325HG,ZNF385D,PCSK6,MBNL3,ENTREP1,CDK18,ANOS1,ENOX2,DBNDD2,LOC101927314,WWTR1,LINC03048,TBC1D16,RNASET2,FAM114A1,RIN3,IGLC3,LPAR1,CTNNA3,BHLHE41
