,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
121,CAPN3,S100A9,LINC01091,CD9,SLC2A5,ELOVL7,PRKCH,PGM5,ADAM28,ERBIN,TES,WWTR1,MOBP,DPP10,LOC105378311,CYP1B1,FBN2,NXPH2,FAM114A1,B4GALT1,DLEU1,LOC105371366,NOTCH3,BMP2K
122,TENT5A,COL15A1,LINC02232,CECR2,LINC02055,SLC6A20,ZBTB20-AS5,ARHGAP22,LAMP2,PDE4B,HAPLN2,SP110,FN1,ERG,NXPH2,EYS,ADIPOR2,WWTR1,EMC10,PLP1,ADAMTS6,IL1RAPL2,EMCN,LHFPL3-AS1
123,PLSCR4,C3,EMCN,LINC02882,OSMR,KCNMB1,CPQ,MYO16,PCDH11Y,CFTR,TF,MYO5B,ATP10A,CEMIP,MMD2,SIGLEC1,TNS1,MSN,LINC02694,ACSS1,LOC101927745,HIF1A-AS3,SPATA22,FPR3
124,TMTC2,TNS3,TRAF3IP3,ACSBG1,ENG,ELMO1-AS1,NTN1,ENTREP1,TGFBR1,HIF1A-AS3,USP53,LOC105371366,RASGRP3,MT3,TGFB2,CFAP418-AS1,MATN1,ATP11C,FGF1,ADGRL4,CFTR,CHODL,FBLN1,USP6NL
125,AGA-DT,LHFPL2,CLDND1,CR1,WAKMAR2,TNFAIP8,FPR3,CTSZ,LOC613266,ADAM12,PLD1,GALNT15,SLCO2B1,MYO5B,CHST9,PACRG-AS3,MROCKI,PCED1B,KAT2B,GNA14-AS1,SLC2A3,SCN10A,LNCAROD,LRP4-AS1
126,TMEM51,MYO5B,ADIPOR2,COL9A2,UCP2,ICAM2,SEMA5A,SLAIN1,CMTM8,KAT2B,ENTPD1,ADAM28,PARP4,ITGA1,NCKAP5,ELMO1-AS1,TM4SF1,ATP10B,PLSCR1,MIR646HG,LPAR6,EDNRA,MEGF10,LOC124903183
127,C10orf90,SRGN,LINC02649,PON2,PLEKHA7,TCF7L1,PDE4B,CYBB,HAPLN2,GALNT15,ARHGAP6,LOC107985126,TGFB1,CFAP418-AS1,VCAN-AS1,TFRC,SAMD4A,SYT6,LOC105370315,LOC105369147,ATP13A4,SLC6A13,SLC24A3,TMEM144
128,VCAN-AS1,ZNRF3,A2M,IFNG-AS1,FGD4,MIR646HG,SERPINB9,PPP1R3C,TCF7L1,LOC105373335,TMEM144,MBNL3,TRPC3,TLL1,HDAC2-AS2,SLC2A3,CPB2,GGT5,CTSC,HLA-C,LAMP2,PALM2AKAP2,CMTM7,SVIL
129,ZFHX3,PIK3AP1,TFRC,CEMIP,ARHGAP24,MT3,LOC105373335,TAFA4,PIP4K2A,CABLES1,FOXP2,LOC105370315,USP53,LOC105370315,FAM149A,CIITA,KMO,PKP2,COL25A1,PHYHD1,MARCKSL1,SRGAP1,PTN,LINC02240
130,MMD2,WDFY4,COL25A1,ELMO1-AS1,ERBIN,PRELID2,BTG2,LOC101927026,EGLN3,LNC-LBCS,TLR6,PLPPR1,LAMP2,PDE8A,MARCKSL1,EGLN3,KCNQ1,TMEM144,ADAMTS9-AS2,HHIP,ADIPOR2,LINC02649,ACSBG1,EDNRA
131,DSEL-AS1,PLP1,LOC613266,MEIS1,CTNNA3,HIF3A,PLSCR1,LMCD1-AS1,CHRM5,NCKAP1L,FGF1,PLD1,SULF2,ATP10B,PAICS,CMTM8,CRYBG3,ENPP2,LOC105371366,WNT5A,RPS6KA1,NDE1,LMCD1-AS1,CD55
132,FBXL7,CHST11,SVIL,LOC101927745,P2RY12,FGD4,ACSL1,MT3,GNA14,ACSS3,BMP2K,RCSD1,DSEL-AS1,FAM149A,NRXN1-DT,LINC03048,RASGEF1C,LOC105378311,ATP13A4,ACACB,NEK3,PDE1C,GRIN2C,LOC105378311
133,PRDM16-DT,TNF,ADGRV1,CT69,DISC1FP1,CFTR,ELMO1,GPR183,RASGRP3,SLC35F4,LMNTD1,BBOX1,IL18,PACRG-AS3,ABCB1,LOC105373335,GALNTL6,CMTM7,CHRM5,IPO9-AS1,TIMP3,RNF152,CECR2,LRIG1
134,MGST1,MYO1F,PRELID2,LURAP1L-AS1,DBNDD2,MROCKI,HAPLN2,LOC101928651,CLDND1,LOC105371366,NDUFA4L2,SOCS6,HILPDA,MAN2A1,LINC02649,TBC1D16,NPL,LINC01500,WDR49,EYA1,MEGF11,BEST3,FIRRE,DBNDD2
135,ARHGAP24,H2BC7,KCNN3,AIF1L,PRRX1,LTBP1,CP,SELE,SUCLG2-DT,EYA4,CYTH4,LINC01470,PALM2AKAP2,HS3ST5,EFHD1,AOAH,RGS16,AASS,RBPMS,MYO1F,NDUFA4L2,CTSC,SEMA3C,RNASET2
136,MT1M,LINC02742,KMO,AGT,NDUFA4L2,C10orf90,PAMR1,P2RY12,SUCLG2,NKAIN3,ATF3,F13A1,LINC02328,COL9A1,FGD4,ENTPD1,CNR1,TBC1D16,BEST3,TRG-AS1,DPP10-AS3,ENTPD1,ACACB,CP
137,LINC02328,PDK4,TCF7L1,TSPAN15,COL4A1,LINC01088,NTNG1,NCKAP1L,PARP4,TRPC3,CREB5,KIAA1217,PGM5,TGFB1,NEDD9,SPI1,GAB3,PLA1A,ADAMTS6,KAT2B,MID1,ATP8B4,TLR5,SLC24A3
