,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
243,ABI3BP,TLR4,NR4A3,DENND3,SEMA6A,CLMN,PCSK6,SMIM35,LINC02649,PRKCQ,OPALIN,ELMO1-AS1,PTGS1,PROX1-AS1,NCKAP1L,KIF6,PARD3B,TENT5A,LINC01482,IL1R1,DDR2,PCA3,PRRX1,HLA-DPB1
244,POU2AF1,MT3,NFATC2,ABI3BP,RASL12,HBA1,CTSB,EPB42,ARHGEF26,CD163L1,LINC02057,SPON1,CPA6,LINC02381,CIITA,SLC14A1,TSC22D4,SLAIN1,EPAS1,RNASE1,WIF1,HLA-DPB1,ARHGAP22,LRP2
245,MKRN3,S100A11,KCNN3,NFATC2,PGM5,SEMA3G,XRCC4,TNFRSF13B,TMTC2,WDR49,CT69,PAMR1,GPR37,LINC01299,CR1,H2BC18,LINC02999,CEACAM21,LINC03048,TMEM144,VCAN,HILPDA,LINC01099,RNF144B
246,ACSM5,COL4A5,NR2F2-AS1,ST18,CLIC4,SOX18,TRIM22,RIPOR3,PCED1B-AS1,TNFRSF11B,ZFHX3,PDGFB,RIPOR3,HLA-C,JUNB,LYZ,CYTL1,ELMO1,SPHKAP,MYO1F,LINC01931,BTK,LOC105377188,SPI1
247,ELOVL7,H1-5,RUBCNL,SLC9A9,EYA1,KCNN3,THBS1,NPAS3,PRKCQ,LINC02008,EPAS1,AGA-DT,CRH,LINC01500,FAM20A,PGM5,FERMT1,CARD11,DENND3,COL3A1,ANKRD44,LINC01608,MAG,CARD11
248,CHD7,PLP1,LINC01500,COLEC12,TPD52L1,TXNIP,LOC101927141,PDE7B-AS1,SERPINB9,ERG,DAAM2,OSMR,SLC14A1,CD55,TRAF3IP3,FLVCR2,MAG,BLNK,PLA2G4A,TNFSF8,SH3BP4,LINC01221,S100A8,CHST9
249,CFTR,SLC16A1,ATP10B,CMTM8,LINC02642,IRAG1,PLPP4,PALM2AKAP2,ARHGAP15,COBLL1,PARP4,MIR646HG,IER3,TLR1,RASGEF1B,CARTPT,CYSLTR1,STARD13-AS,ATP13A4,CLDND1,BLNK,LCP1,HLA-DMB,MYO16
250,JUNB,LOC101927745,PPP1R3C,AASS,GPR37,DLEU1,DISC1FP1,S100A10,MIR646HG,CD86,HIF1A-AS3,SPI1,CMTM7,ANXA8,PALM2AKAP2,DDR2,SLC22A3,MLPH,WDR49,CP,LOC101927745,FBXL7,KIAA1755,RHOU
251,BCAS1,CD14,SGO1-AS1,DPP10-AS3,SLC7A2,MAML2,SLC14A1,LINC00996,WDR49,MIR646HG,MGP,GREM1,LOC107984203,MBNL3,SSPN,PDZRN4,BHLHE41,HMCN1,XRCC4,SLC44A1,SLC6A13,RASGEF1B,CSF2RA,NID1
252,LOC101926964,LAMP2,SLC6A13,CDH1,LOC105377448,CARD11,NRXN1-DT,KYNU,STEAP4,CST7,HMCN1,ATP13A4,CYP4F12,LCP1,ADIPOR2,SLC11A1,HEYL,CASP10,ST8SIA6,LMCD1-AS1,EDN1,FCER1G,HAMP,NDUFA4L2
253,VWA1,AOAH,ENPP2,MYO10,HYCC1,LINC00511,ITGA2,ARHGAP15,RNASE1,F13A1,SPATA22,LINC01374,HLA-DMB,SERPINB9,PTN,SP110,LINC02263,LAMA1,ISM1,LYL1,KLRF1,HPGDS,GPR17,CARNS1
254,CNTN5,SLC1A3-AS1,LINC01470,LINC01505,RGS20,FAM222A-AS1,SPHKAP,HES5,SLC6A13,FAM114A1,SP110,TNFRSF11B,LINC02057,TMEM123,PRKCQ,LDB3,CLIC4,LUZP2,ZNF385D-AS2,LINC01876,ADM,NTN1,ITGA8,ACSL1
255,PARP14,OPALIN,ATP13A4,RBPMS,RASGRP3,ENTREP1,LINC01411,H2BC11,HBA1,DPP10,LINC01630,NID1,NAMPT,CREB5,ELOVL7,HEYL,SLC2A1,CD68,PCSK5,ERMN,HEPN1,MSR1,ITM2A,PGM5
256,TSC22D4,S100B,LINC03048,UACA,HS3ST2,SMAD6,SOCS6,PRKCH,ATP13A4,MBNL3,FYB1,HISLA,COL4A4,THEMIS,NAMPT,SELE,COBLL1,LINC01877,ENTREP1,LINC00924,SLC27A6,LINC01411,HOXB3,LOC124903183
257,SLC2A3,LINC01505,IL17RA,SLC11A1,CMTM8,NFIA,ELMO1,CMTM8,CYP1B1,STOM,HES1,SGCZ,PLEKHH2,LINC01375,NEK3,OPALIN,GAD2,ADM,LINC02649,PARP14,STK33,MARCKSL1,NEK3,TMEM123
258,MGP,SUCNR1,RNF125,IL13RA1,SLC35D2,GJA4,PREX1,ARHGAP22,LINC03013,ADAMTS6,MID1,NPY,NOTCH2,LINC01221,ISM1,LAMA2,CXCL16,QDPR,TMEM123,SERPINB9,NCKAP5,SLC6A13,TFRC,ALOX5
259,LINC00609,THBS1,ZNF98,LAMA4,ITGA6,CNDP1,LMO2,TFPI,PLEKHH1,SP110,LINC01411,MIR3681HG,SLC25A13,CDKN1A,NKAIN3,BEST1,CMTM5,FGL2,BLNK,USP6NL,CIITA,H1-5,MEIS1,GPR34
260,OAF,CALCR,CTSC,NOS1,TES,DSEL-AS1,PLD1,SP110,MGC4859,CHST9,LINC01500,LINC02232,THBS1,LOC728158,ELMO1,IL1R1,LINC00499,PLPP3,GPR34,MT1X,PLSCR1,TMEM125,NOSTRIN,OPALIN
261,ABCA2,ID1,SFMBT2,HEYL,PRKCQ,ADGRD1,PRKCQ,PCAT19,FAM20A,THBS1,CPVL,CNP,LINC01416,STK33,DDR2,TMEM144,SIGLEC1,CYSLTR1,EVI2A,RGS5,SLC25A13,TSPAN15,SCHLAP1,IRAK3
262,LINC01411,ATP1A2,ITGA6,ANGPT2,TRGC1,GLI2,SIGLEC1,NPY,LINC01608,GPR183,CCN2,KMO,SOX10,LINC00924,CD79B,PSD2,IGHM,SRPX2,TMEM71,LINC01687,ADGRL4,CALCR,ALOX5,AASS
263,RNF144B,LINC02072,MBNL3,SDC4,FOLH1,CPVL,RCSD1,ELMO1-AS1,L3MBTL4,WIPF1,IER3,LINC02649,USP6NL,HK2,LINC02263,RNASET2,SVIL,LOC101929538,NXPH2,CD22,CABLES1,PCAT1,LOC105374524,BCHE
264,SPTLC3,ASCL4,TAFA4,IGHA1,CD68,MAP3K8,PLEKHA7,QDPR,GPX3,EYA4,LOC102724768,PALD1,ITGA2,LOC124901612,NDNF,IFI44,P2RY13,KCNN3,KIF6,S100B,ACSM5,PDCD1,TBX2,VWF
265,IPCEF1,LCP1,RASGEF1C,TXNIP,PARP14,PLPPR1,ZNF385D-AS2,SPI1,LINC03069,TYMP,SLC6A13,RCSD1,SEMA3B,GNG12-AS1,SLC6A13,SLC24A3,H2BC8,TLR6,CYSLTR1,FGF1,FREM2,DOCK10,NFATC2,LURAP1L-AS1
266,BTG2,NINJ2,PROX1-AS1,ENTPD1,CARNS1,EMC10,IL17RA,BMP2K,SEMA6A-AS1,ARHGAP30,HBA2,LAMA2,HLA-DQA1,LINC01179,PLTP,NCKAP1L,C21orf91,TNFAIP3,LMO2,LRRC1,OPALIN,S100A8,POU2AF1,HBB
267,H2BC18,LINC00326,ETS1,UCP2,PTGDS,HPN-AS1,HSPA6,CNKSR3,SLC9A9,BOK,CD163L1,WDFY4,FGF2,MROH9,SLC2A1,SMIM35,RASGRP3,PLEKHH1,HIGD1B,OPALIN,CTSC,KANK1,MUSK,RMST
268,SELENOP,PLLP,LRP4-AS1,HLA-DPA1,ZNRF3,HLA-DRA,ADIPOR2,GYPC,UTRN,CST3,TAC3,PARP14,LOC285626,MGP,FBN2,SUCLG2-DT,TP53TG5,FERMT1,PPP1R14A,ADM,CD3D,LINC02328,CMTM5,LINC03013
269,THSD4,ADAM28,OSMR,EYA4,LINC02057,HIF1A-AS3,SHISA6,MGP,CD4,LINC01821,LOC105371366,PIK3CG,CNKSR3,SPI1,SLC1A5,HSPA2,CNDP1,WWTR1,SHISA8,LOC283194,BTG2,SPI1,CHRNA7,BHLHE41
270,GNB4,S100Z,HIGD1B,NXPH2,ADAM12,F13A1,TTN,PRR18,PLPPR1,GBP2,ELMO1-AS1,LINC03048,LY86,SMIM35,FCRL5,LINC02057,F3,IFI44L,PCDH11Y,GNG12-AS1,C8orf34,ICOS,PRF1,LOC101927745
271,LINC01036,MOBP,S100Z,LINC02057,DAPK2,TAL1,MYO1E,UTRN,CD83,LINC03048,ITM2A,MIR325HG,HPGDS,NCKAP5,GNA14-AS1,TAC3,ELOVL7,CCDC26,LINC01374,PCED1B,HAPLN2,DIPK1C,MAL,RAB31
272,GPR34,MAG,HLA-DMB,FCGR3A,KCNK13,LOC105373335,ADM,MBNL3,HS3ST5,MYO5B,PLPP4,CD4,ITPKB,TAGLN2,CD82,CTSC,LRIG1,NAMPT,SLC44A1,H2AC19,SLC1A3-AS1,MX2,ADAMTS4,JUNB
273,LINC01748,OLFML3,SERPINB9,CD34,FLVCR2,RNASE1,LINC01060,RGS5,PARP14,OSMR,TLL1,ARHGAP6,MEGF10,CD53,NDST4,OTULINL,RGMA,ERG,CTSZ,SSPN,TRPC6,LILRB5,IRAG1,PPP1R14A
274,TRPC6,CERNA2,AIF1,TLL1,CCDC26,TMEM123,MAML3,LOC101927745,IL17RA,KCNK13,ICAM2,MYO5B,MARCKSL1,TRGC2,CEBPD,POU2AF1,CARNS1,MIR223HG,TINAGL1,GBP2,MX2,HS3ST2,CPVL,FERMT1
275,FAM222A-AS1,FGL1,ENOX2,HBA1,RIPOR3,PLLP,B4GALT1,HISLA,LINC02328,MT1M,SVEP1,SLC16A9,TAGLN,LINC01608,RGS16,SEPTIN4-AS1,RNF144B,TMEM163,HBB,PWRN1,RPS6KA1,ATP8B4,FOXO1,EYA4
276,PAPLN,STEAP1B,WWTR1,PRKCQ,HS3ST4,PYCARD,LINC01179,FCMR,HSPB8,SINHCAF,GADD45B,DSEL-AS1,HMCN1,NR4A3,PARP9,CHRNA7,TNFRSF10B,ITGB2-AS1,TOP2A,KCNMB1,FAT4,HTR2C,HYCC1,ZNRF3
