,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
242,SLC24A3,CDKN2B-AS1,HIGD1B,DENND3,CH25H,LOC102724768,ISM1,LYZ,COL5A3,CREB5,LINC02057,XRCC4,NHSL1,APOE,SLC2A3,ELMO1,AKR1C2,COLEC12,ST6GAL1,LINC01876,GLDN,MARCKSL1,LINC02055,ACSL1
243,ACSM5,FLVCR2,KCNN3,LINC01505,PRAM1,MAML2,XRCC4,TENT5A,TCF7L1,ENO4,CST3,MIR325HG,RIPOR3,PBX3,TMEM176B,BEST1,ADAM12,CARD11,LOC105373170,LAMA3,MT3,P2RY12,TLR5,NDUFA4L2
244,CHD7,MYO5B,CHRNA7,NOS1,NPSR1-AS1,CPVL,PLA2G4A,CPB2-AS1,WDR49,PCA3,CPVL,NPY,GBP2,H2BC11,ENOX2,FLVCR2,MAG,ACVRL1,GPR34,HBB,CTSC,SPI1,RGS20,LINC01482
245,LAMA1,TLR4,LINC01470,ABCG2,ADAMTS4,TLR10,ENPP2,ANLN,LINC02997,BOK,TRIM38,RYR3,CRISPLD2,HK2,PPP1R14A,H2BC18,PALM2AKAP2,WIPF1,ATP13A4,SEMA3B,LINC01931,HSPA2,TRAF3IP3,PPP1R14A
246,H2BC18,SST,SLC6A13,ST18,PLEKHB1,F13A1,ZNF804B,LINC01445,PRKCQ,TYMP,SLC4A4,GLIS3,SLC16A9,RNF220,USP6NL,PSD2,RGMA,SLC2A3,USP6NL,PKP2,ENPP2,CALCR,CXCL14,IER3
247,CD37,ITGAM,NUPR1,COLEC12,TANC1,SOX18,KLF2,LINC01374,LINC00276,F13A1,LOC105371366,GPC3,NOTCH2,CH25H,MOG,NKAIN3,MT1F,MKRN3,WDR49,ARHGAP45,LOC102724768,LOC101927026,HES1,LRP2
248,EYA1,CR1,TMEM123,NXPH2,KCNQ1,EMC10,SIGLEC1,HYCC1,HBA1,IRF8,P2RY12,CD4,ITGA6,LINC00326,PDGFRA,SELE,CPA6,CYSLTR1,ZBTB20,MORC1,DOCK2,LOC124901612,CMTM5,LOC124903183
249,SELENOP,QKI,ARHGDIB,ENTPD1,RNF125,ANLN,NKAIN3,CMTM7,STEAP4,CHRM5,PAMR1,SLC16A9,COL4A4,SERPINB9,PLTP,KIF6,LRIG1,HES1,CLDND1,TMEM144,ST6GAL1,SLC26A5-AS1,IL10RA,LOC101927745
250,CYP4F12,MT3,TNFRSF11B,LINC03069,PTGDS,SLC35D2,PREX1,RIPOR3,ATP13A4,PPFIBP2,PLPP4,WDFY4,USP6NL,SMIM35,PLAC8,CPA6,PARD3B,SLAIN1,CFAP418-AS1,PCED1B,OPALIN,PTPRC,ZFHX4-AS1,CPVL
251,ABCA2,LAMP2,FTL,RBPMS,HYCC1,SLC39A11,LINC01060,P2RY13,LINC02712,CDKN1C,IL18R1,TNFRSF11B,PDE7B-AS1,MT1M,CCL5,LYZ,FERMT1,SLC11A1,ISM1,DIPK1C,MX2,LINC01445,KIT,ALOX5
252,PAPLN,TIMP3,EMCN,UCP2,RIN2,PCK1,CHI3L1,SAMD3,LMO2,LINC01821,DISC1FP1,CNP,JUNB,RNASE1,CD4,KCNK13,ANGPT1,SLC14A1,FLI1,LINC01482,LINC01088,LUZP2,HHATL,LRRC1
253,LOC101926964,ENTPD1,NFATC2,UACA,SIGLEC1,CTSZ,VCAN,PCAT19,LINC03069,CSRP1,HBA2,HIGD1B,VIP,SLC16A9,NUPR1,ETS1,PDGFD,ELMO1,LMO2,SLC16A1,SLC16A9,DPP10-AS3,NCF2,IQGAP2
