,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,batch,condition,group
10,-3.4236808,-11.878405,-1.4656676,0.99689883,-0.9048495,-0.58872217,0.65532464,-0.16164601,0.45721292,-0.46804023,1.0946271,-0.6279772,0.8070977,0.5508808,-0.8242896,-1.0108852,0.014635026,0.3492316,-0.33011037,0.80368876,0.025510997,0.10727875,-0.3244945,0.3251073,-0.0034744442,0.2829291,-0.19201711,0.27218875,0.18310735,0.33579844,-0.013617771,0.0650385,-0.061433136,0.13181765,-0.1403923,0.31260073,-0.045931414,-0.051205814,-0.076340616,-0.047867745,0.07247113,-0.22555178,-0.30521652,-0.3957854,0.14809862,0.057112433,-0.010670185,-0.16638081,-0.07639891,-0.0467024,0,1,0_1
11,-3.7804737,-15.447548,-2.686258,-1.1655004,1.4996543,0.009261638,-0.23224604,-0.93724525,0.48403955,0.8389842,1.3839817,0.3442508,-0.26589352,-0.5125697,-0.54315716,-0.07165778,0.35037273,-0.0033264756,-0.40192807,-0.13922983,0.54078543,-0.0030795932,-0.819221,0.123738736,0.28623474,-0.06539543,0.1708503,-0.06243679,0.0960215,-0.164594,0.13935815,0.3796728,0.09340933,0.13230847,0.32659554,-0.11134465,-0.0051811934,-0.047546983,-0.0010063052,0.34569147,-0.12969837,0.009160101,0.020719111,-0.09216998,0.00198856,-0.26677987,0.06690401,-0.13459443,-0.0050563514,-0.18347982,0,1,0_1
12,3.8873699,-14.628666,-1.3807378,0.3178789,-4.349519,-0.33691508,-1.1115016,0.3695747,-1.7566769,-0.82891273,-1.6018667,-0.17386469,-0.015920281,-0.51631397,-0.1795794,-0.5791055,0.46345633,0.14973015,0.3092988,0.41534403,-0.01921995,-0.50307614,0.056183487,0.14395851,-0.22203523,0.056341026,-0.12635064,0.049191415,0.1847671,0.0104789585,-0.23007478,-0.07934049,0.043489456,0.14174692,0.5559388,-0.027026266,-0.24961859,-0.1971733,-0.0051341653,0.05048874,0.20836316,0.12733454,-0.30803904,-0.23713815,-0.09853723,0.3142115,-0.21988642,-0.20919505,0.101525515,0.023243412,0,1,0_1
13,6.1149616,-3.1390817,12.9735365,-11.551801,-7.7929835,1.1679375,0.45442715,-1.8991922,-0.6492146,-0.051893115,0.4427789,0.18361515,0.0168221,0.5816637,0.011125091,-0.26181647,-0.040096223,-0.38438907,-0.37098813,0.4729526,-0.040606514,-0.5429736,-0.31563696,-0.06477952,-0.2700776,-0.43916374,0.29805776,0.14855933,-0.3394876,0.41827,0.018835807,0.32369405,0.15767601,0.6653525,-0.05686,-0.5500177,0.086408064,-0.25052476,-0.26834884,0.546355,0.15611418,0.44410804,0.385088,-0.19837712,-0.09882872,0.095696464,0.23934202,0.32714555,-0.43928206,-0.20597172,0,1,0_1
14,6.753632,4.5573187,10.65038,1.3229986,-1.9727874,2.202917,0.21681288,0.45932582,1.0510012,-1.0492415,-0.4448812,-0.6053829,0.21442595,0.2194151,-0.28315693,-0.0750729,0.12252176,0.13739872,-0.14454588,-0.35231557,0.13726842,0.81020534,-0.6254945,0.11106742,0.4659164,0.3729483,-0.058069915,0.19392815,-0.5169197,-0.11291011,-0.120255634,-0.041895118,-0.08241743,-0.30204785,0.41328055,-0.11142278,-0.23563854,-0.51518935,0.2761675,-0.04328552,-0.27644736,-0.09743947,0.27671692,0.012829974,0.02296035,-0.14416124,0.048791856,0.23603034,-0.12676504,-0.021659303,0,1,0_1
15,6.7821503,2.106481,14.883017,4.3658915,2.5451896,0.8669282,-0.088496566,0.26804975,-0.15888631,0.2798164,-0.3395942,-0.17581919,-0.12505543,0.23651978,-0.464423,-0.2556156,-0.107313335,-0.4012589,-0.46402484,0.5896963,-0.021036014,0.27300525,0.087286994,-0.3786038,-0.0950439,0.20898059,-0.6562792,-0.055324167,-0.36595702,-0.09655848,0.034520146,-0.43773487,0.13279149,-0.044286788,-0.08565709,0.2186854,-0.062546805,-0.3115636,0.19199693,0.13644636,0.0360834,-0.2889701,0.25646323,0.20979345,-0.16880758,-0.12519035,-0.0025368333,0.09664917,-0.07649046,0.13965136,0,1,0_1
16,11.414118,5.222064,-4.896544,-1.0643148,0.6605135,-0.60128707,-0.38827646,0.096452326,0.34026343,-0.5551808,0.2792657,0.036049366,-0.5279921,0.13825691,0.20587224,-0.109898716,-0.042715967,-0.30005038,-0.05311808,0.18016946,-0.12421201,-0.062002853,0.0043010414,0.09116864,0.15988162,0.27529508,-0.03322366,-0.091349036,0.06354642,0.011111423,0.021715084,-0.014396684,-0.05041361,-0.041263044,-0.14744836,0.0360211,-0.028949305,-0.11651009,0.017623305,-0.029542834,0.13120319,0.011539161,-0.062656194,-0.08412847,-0.0036525726,0.005153762,-0.028909981,-0.007933833,-0.11125401,0.028251916,0,1,0_1
17,-12.232567,8.7930765,-0.66309166,-1.1819017,-1.5443692,0.7678683,-0.6968483,0.508492,0.11177716,-0.34896517,0.09841055,-0.10428709,1.0105959,0.25190917,0.2425203,-0.33051074,0.22271651,-0.23035955,-0.36567974,0.02636689,-0.6777947,0.25327528,-0.13977128,0.17220947,0.457005,0.030447014,0.18981834,0.05196601,-0.0964407,-0.2143628,-0.06364757,-0.14486325,-0.05424267,-0.20061368,-0.06749222,-0.089725494,-0.08178267,0.07583928,-0.4875281,-0.057213783,-0.009372756,-0.09817475,0.07945141,0.17321604,0.027635515,-0.08276569,-0.16459316,0.20036809,-0.052323014,-0.20561296,0,1,0_1
18,-15.716364,6.318434,-0.8222556,-3.6594098,-0.16345501,-0.031665266,0.16132131,1.0412043,-0.45514983,0.37905777,0.083506286,-0.30625734,-0.33443063,0.9815346,0.18105337,-0.28778318,-0.2176488,-0.25426203,0.23632523,-0.34792545,0.37286407,-0.15885541,0.00020515919,-0.1417391,-0.006967187,-0.11699216,-0.13554788,0.22054283,0.14558312,0.13773067,0.059139546,-0.20826884,0.08842826,0.17622696,0.13681406,-0.20893866,-0.02005525,0.12153426,-0.072453976,0.011567086,-0.08713279,0.113358915,-0.11649275,-0.03835845,-0.08473733,0.029337186,-0.022062123,-0.10341345,0.1502989,-0.0057443567,0,1,0_1
19,-1.2121534,-2.5186396,2.6650567,4.219291,-6.418159,-1.9684682,0.78477025,-0.4372353,1.3394564,1.0389848,-0.20917273,-0.14525318,-0.44672304,0.093569756,0.47987926,0.15705359,0.24871787,0.37656307,-0.08449975,0.19711757,0.0864709,0.50362825,0.33046547,-0.2856498,-0.64420646,0.29270047,-0.32738456,-0.24308586,-0.07056898,-0.08280705,0.10720132,0.20313637,0.0027442276,-0.16872552,0.07633951,-0.55820614,-0.4178577,0.01994288,-0.044899464,0.19195516,0.022827908,0.5553155,-0.16559938,0.07422179,-0.25011954,-0.04505015,0.079229414,0.35737064,0.19137782,-0.021609344,0,1,0_1
